School,City,State,County,Latitude,Longitude
Concordia University-Irvine,Irvine,CA,Orange ,33.653665,-117.812305
San Diego Christian College,Santee,CA,San Diego ,32.842404,-116.978112
Stockton Christian Life College,Stockton,CA,San Joaquin ,38.029827,-121.296258
Church Divinity School of the Pacific,Berkeley,CA,Alameda ,37.876184,-122.261122
Citrus College,Glendora,CA,Los Angeles ,34.135487,-117.885266
Citrus Heights Beauty College,Citrus Heights,CA,Sacramento ,38.712951,-121.289529
City College of San Francisco,San Francisco,CA,San Francisco ,37.725953,-122.451155
Claremont Graduate University,Claremont,CA,Los Angeles ,34.103585,-117.713703
Claremont McKenna College,Claremont,CA,Los Angeles ,34.102154,-117.711188
Milan Institute-Visalia,Visalia,CA,Tulare ,36.27164,-119.312151
Clovis Adult Education,Clovis,CA,Fresno ,36.834459,-119.690369
Coast Community College District Office,Costa Mesa,CA,Orange ,33.674004,-117.916066
Coastline Community College,Fountain Valley,CA,Orange ,33.715634,-117.929143
Cogswell College,San Jose,CA,Santa Clara ,37.414049,-121.94087
Coba Academy,Anaheim,CA,Orange ,33.841141,-117.943108
Western University of Health Sciences,Pomona,CA,Los Angeles ,34.058092,-117.747732
Columbia College,Sonora,CA,Tuolumne ,38.030367,-120.388385
Columbia College Hollywood,Tarzana,CA,Los Angeles ,34.17972,-118.538793
Flashpoint Chicago A Campus of Columbia College Hollywood,Chicago,IL,Cook ,41.882848,-87.631154
Compton College,Compton,CA,Los Angeles ,33.878226,-118.209463
Contra Costa Community College District Office,Martinez,CA,Contra Costa ,38.019072,-122.135335
Contra Costa College,San Pablo,CA,Contra Costa ,37.969381,-122.337377
Cosumnes River College,Sacramento,CA,Sacramento ,38.45295,-121.423108
Crafton Hills College,Yucaipa,CA,San Bernardino ,34.039178,-117.101173
Cuesta College,San Luis Obispo,CA,San Luis Obispo ,35.331276,-120.742235
Cuyamaca College,El Cajon,CA,San Diego ,32.744954,-116.943507
Cypress College,Cypress,CA,Orange ,33.82833,-118.025143
De Anza College,Cupertino,CA,Santa Clara ,37.320788,-122.045558
International School of Beauty Inc,Palm Desert,CA,Riverside ,33.729555,-116.403928
Dell'Arte International School of Physical Theatre,Blue Lake,CA,Humboldt ,40.880924,-123.988808
College of the Desert,Palm Desert,CA,Riverside ,33.732108,-116.388271
Design Institute of San Diego,San Diego,CA,San Diego ,32.880926,-117.167374
Diablo Valley College,Pleasant Hill,CA,Contra Costa ,37.968516,-122.073142
Dominican University of California,San Rafael,CA,Marin ,37.981279,-122.512051
Dominican School of Philosophy & Theology,Berkeley,CA,Alameda ,37.881099,-122.264612
East Los Angeles College,Monterey Park,CA,Los Angeles ,34.040531,-118.148785
El Camino Community College District,Torrance,CA,Los Angeles ,33.885229,-118.329913
Elegance International,Hollywood,CA,Los Angeles ,34.098445,-118.338111
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,Los Angeles ,34.030438,-118.485119
Empire College,Santa Rosa,CA,Sonoma ,38.468052,-122.729337
Evergreen Valley College,San Jose,CA,Santa Clara ,37.30167,-121.76561
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,Los Angeles ,34.044209,-118.25993
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,Orange ,33.692074,-117.852147
FIDM-Fashion Institute of Design & Merchandising-San Diego,San Diego,CA,San Diego ,32.708915,-117.155908
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,San Francisco ,37.786353,-122.406651
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,Orange ,33.691963,-117.852254
Feather River Community College District,Quincy,CA,Plumas ,39.953101,-120.973067
Federico Beauty Institute,Sacramento,CA,Sacramento ,38.64883,-121.497761
Fielding Graduate University,Santa Barbara,CA,Santa Barbara ,34.42941,-119.717161
Five Branches University,Santa Cruz,CA,Santa Cruz ,36.964348,-121.998245
San Jose Campus,San Jose,CA,Santa Clara ,37.393096,-121.891583
Redondo Beach Beauty College,Redondo Beach,CA,Los Angeles ,33.873098,-118.372137
Foothill College,Los Altos Hills,CA,Santa Clara ,37.361655,-122.127964
Franciscan School of Theology,Oceanside,CA,San Diego ,33.232416,-117.320066
Franciscan School of Theology - San Diego,San Diego,CA,San Diego ,32.772407,-117.191964
Fredrick and Charles Beauty College,Eureka,CA,Humboldt ,40.798885,-124.164986
Fresno City College,Fresno,CA,Fresno ,36.768164,-119.796096
Fresno Pacific University,Fresno,CA,Fresno ,36.726831,-119.735199
Foothill-De Anza Community College District,Los Altos Hills,CA,Santa Clara ,37.361664,-122.12796
Fuller Theological Seminary,Pasadena,CA,Los Angeles ,34.14778,-118.140261
Fullerton College,Fullerton,CA,Orange ,33.875514,-117.918255
Gavilan College,Gilroy,CA,Santa Clara ,36.972627,-121.569842
Gemological Institute of America-Carlsbad,Carlsbad,CA,San Diego ,33.131313,-117.318765
Glendale Community College,Glendale,CA,Los Angeles ,34.16745,-118.227666
Glendale Career College,Glendale,CA,Los Angeles ,34.149771,-118.254719
Golden Gate University-San Francisco,San Francisco,CA,San Francisco ,37.789374,-122.398969
Golden Gate University-Seattle,Seattle,WA,King ,47.610138,-122.336135
Golden Gate University-Silicon Valley,Santa Clara,CA,Santa Clara ,37.39133,-121.982171
Golden West College,Huntington Beach,CA,Orange ,33.732531,-118.002568
Graduate Theological Union,Berkeley,CA,Alameda ,37.87554,-122.261847
Grossmont-Cuyamaca Community College District,El Cajon,CA,San Diego ,32.815246,-117.006277
Grossmont College,El Cajon,CA,San Diego ,32.815246,-117.006277
Salon Success Academy-Riverside,Riverside,CA,Riverside ,33.943149,-117.391024
Hartnell College,Salinas,CA,Monterey ,36.675091,-121.666054
Harvey Mudd College,Claremont,CA,Los Angeles ,34.106515,-117.709837
Hilltop Beauty School,Daly City,CA,San Mateo ,37.705502,-122.461467
Holy Names University,Oakland,CA,Alameda ,37.802276,-122.187804
Pacifica Graduate Institute,Carpinteria,CA,Santa Barbara ,34.420881,-119.580414
Humboldt State University,Arcata,CA,Humboldt ,40.877481,-124.078293
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,San Joaquin ,38.011489,-121.316918
Humphreys College-Modesto,Modesto,CA,Stanislaus ,37.690206,-121.060493
Imperial Valley College,Imperial,CA,Imperial ,32.827209,-115.503563
Institute for Business and Technology,Santa Clara,CA,Santa Clara ,37.368642,-121.969541
Interior Designers Institute,Newport Beach,CA,Orange ,33.641393,-117.865722
Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,CA,Los Angeles ,34.017276,-118.494755
International School of Cosmetology,Costa Mesa,CA,Orange ,33.693088,-117.885047
Irvine Valley College,Irvine,CA,Orange ,33.675381,-117.777539
ATEP at IVC,Tustin,CA,Orange ,33.716501,-117.830905
Bellus Academy-El Cajon,El Cajon,CA,San Diego ,32.794072,-116.94627
John F. Kennedy University,Pleasant Hill,CA,Contra Costa ,37.956616,-122.054761
