FIPS,UI_Index,MI_Index,CI_Index,Total_Vaccinated,Vac_Index
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1067,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1069,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1071,1,0,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1073,0,1,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1075,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1077,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1079,1,0,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1081,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1083,1,1,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
